avg_mouse_speed,mouse_path_entropy,click_delay,task_completion_time,idle_time,micro_jitter_variance,acceleration_curve,curvature_variance,overshoot_correction_ratio,timing_entropy,label
486.978,0.8081,2.2434,0.9202,0.7805,92.5311,4887.5344,0.0158,0.0078,0.8861,1
321.7071,0.6105,0.6595,3.4139,0.5053,92.1801,2643.535,0.1165,0.0219,0.4732,1
177.1447,0.7341,2.9188,1.7078,0.2964,58.9989,1785.2511,0.016,0.0082,0.8913,1
450.1326,0.791,2.5119,1.9174,0.2307,83.487,1526.7129,0.0244,0.0204,0.8638,1
329.4579,0.3409,0.7863,2.8726,0.3769,70.0022,4777.9941,0.0763,0.0291,0.6815,1
207.2923,0.8047,1.0848,0.7982,0.2251,38.7633,4241.9659,0.0671,0.0281,0.5385,1
730.5898,0.5502,0.9032,2.3036,0.1218,85.0768,3120.0126,0.046,0.0253,0.5125,1
580.9488,0.7048,1.1647,3.8952,0.623,87.4424,3136.6798,0.033,0.0068,0.6122,1
389.6098,0.8068,2.3963,3.0462,0.3457,77.1405,3837.3094,0.0782,0.0073,0.6248,1
172.2621,0.632,0.9265,3.7454,0.4648,44.89,3872.7606,0.0032,0.0037,0.7079,1
345.3535,0.6216,1.6837,1.5077,0.2653,64.8773,3082.3396,0.0031,0.0494,0.5075,1
436.12,0.6786,2.3175,3.2134,0.0862,110.3414,1997.1128,0.005,0.0142,0.6181,1
576.4497,0.5848,1.1399,3.7825,0.1317,10.1647,3062.5047,0.1191,0.0251,0.725,1
257.9645,0.6801,1.4341,0.9212,0.5974,35.183,5671.4284,0.0293,0.0665,0.7677,1
537.281,0.4517,2.4435,3.9042,0.4006,21.5482,872.4687,0.0279,0.0438,0.818,1
390.5583,0.7727,2.2885,3.1125,0.1048,19.2317,5623.3253,0.048,0.0147,0.6018,1
688.7995,0.6621,0.7647,1.0772,0.3353,116.1167,3899.4213,0.112,0.0207,0.5078,1
514.7143,0.4012,1.8269,2.6605,0.6942,74.3573,2945.3722,0.0452,0.0751,0.5814,1
218.3312,0.7808,0.7632,0.8263,0.4755,21.8099,5088.2538,0.0376,0.0163,0.5314,1
563.8489,0.3635,0.6335,2.6099,0.5446,50.2675,2453.5537,0.0608,0.0209,0.5755,1
224.6938,0.5206,0.6231,1.8703,0.419,16.6923,5133.9845,0.0067,0.0261,0.9692,1
501.0129,0.6676,2.4475,1.0575,0.4289,64.1356,5259.3751,0.0558,0.017,0.7033,1
308.4447,0.4889,1.416,1.7135,0.3036,83.8605,2343.7577,0.1139,0.0265,0.8997,1
426.2937,0.5963,2.0823,1.5797,0.5879,28.2765,4412.9503,0.1034,0.0199,0.4948,1
567.9699,0.8733,2.5022,2.6185,0.6261,96.4382,5719.3407,0.0308,0.0054,0.7534,1
332.9926,0.7466,2.4981,2.2733,0.4797,112.0922,1422.6147,0.0145,0.0489,0.8058,1
